waktu,user,tweet
2022-04-01 04:32:30,KoramilMusuk,"Pukul 08.00 s.d 09.00 WIB, 3 orang Babinsa Koramil 02 Musuk Tamansari dipimpin Babinsa Ds. Sumur Sertu Sigit Pramon… https://t.co/kTZz87tkvl"
2022-04-01 04:27:37,Polsek_klb_,Jumat 01 April 3022 PKL 08.30 Wib s/d selesai di pasar jagalan Banjaroyo Kalubawang  Personil Polsek  Kalibawang di… https://t.co/l65uAgJNm1
2022-04-01 04:27:26,koramilkarangm2,Pkl 09.30  WIB  s.d selesai anggota Koramil 02/Karangmalang Rutin melaks Giat  patroli  dalam rangka  Pelaksanaan *… https://t.co/vIdfimz1Fo
2022-04-01 04:25:00,Herrreza,"RT @liputan6dotcom: Peraturan di Tempat Ibadah Selama Ramadhan 2022, Lebih Dilonggarkan: Peraturan di tempat ibadah selama Ramadhan 2022 di…"
2022-04-01 04:24:32,Anzu_golansaja,"@mohmahfudmd Banyak x cocot masyarakat +62 ini, udah di kasih kelonggaran,masih aja bnyak cengkuneknya, yg dilarang… https://t.co/AGEZU6LCVT"
2022-04-01 04:24:19,kotakbinajaib,@ZonaMerah69 @katzedikke @SuryadiGatot @bnsphr @kikitaroreh @cyber_entrance @mx00711 @Maleo_Berekor… https://t.co/JQZBnzw5ED
2022-04-01 04:23:35,liputan6dotcom,"Peraturan di Tempat Ibadah Selama Ramadhan 2022, Lebih Dilonggarkan: Peraturan di tempat ibadah selama Ramadhan 202… https://t.co/0C1PyUSkFb"
2022-04-01 04:20:57,PenKoramil02,Pada jumat tanggal 1 April 2022  Babinsa punggawan Koramil 02/Banjarsari Serka Junaidi melaksanakan pengecekan dan… https://t.co/PI83Pk27bk
2022-04-01 04:16:08,veraagustian_,"@WiniYlita @P3nj3l4j4h_id @pertamina dulu pernah nyanya sama yg punya pom.katanya kuotanya di kurangi karna covid,b… https://t.co/and7x9YJTl"
2022-04-01 04:14:30,dh3ni,"Awalnya sih gak terlalu notice atau yaudah lah ya, tapi klo diperhatiin ya kok ya kayak tai. Setiap ada kegiatan ke… https://t.co/iRYxN4ldHY"
2022-04-01 04:07:44,bkahei,@WO0YOUGN Cocok ppkm
2022-04-01 04:05:45,kotakbinajaib,"@Humaira922 wkwkwk play victim, orang skg bebas kok mau ibadah dan mudik, lo liat aja yg jumatan waktu ppkm emang d… https://t.co/AB8PN4gH74"
2022-04-01 03:57:33,Satlantas_OKUS,Giat PPKM Berskala Mikro Satlantas Polres OKU Selatan https://t.co/7tbrj5hflH
2022-04-01 03:49:55,modapi245,@Kemenkess ppkm udah level berapa pak
2022-04-01 03:49:12,YAOIBASERP,"Hei gua baru balik rp setelah 6 bulan simulasi lrp, nyari temen gua friendless sangat, btw gua lee hyunjae cuman ma… https://t.co/HA2Ungaacj"
2022-04-01 03:49:07,TarunaAdjie1,"@msaid_didu @prastow pekerja informal sudah 3 tahun mau mati om gegara PPKM, dibom lagi Migor, PPN 11% pasti semua… https://t.co/f1XRdBQpsP"
2022-04-01 03:47:34,GRAINSIL0,"RT @juujjuli: #butterflysoup #ppkm
ppkm sleepover https://t.co/SkmMV53e0Y"
2022-04-01 03:47:22,JbKebon,"RT @Kemenag_RI: Sebentar lagi umat muslim akan memasuki bulan Ramadan. Lalu, bagaimana aturan berjemaah di tempat ibadah? Mari simak penjel…"
2022-04-11 10:47:28,ameltxt,RT @haechanunpad: johnny wonpil june hwasa nama grupnya PPKM (persatuan para korea medan)
